Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.6386,01/09/2023,30/09/2023
Albania,Lek,ALL,125.9739,01/09/2023,30/09/2023
Algeria,Dinar,DZD,171.7650,01/09/2023,30/09/2023
Angola,Readj Kwanza,AOA,1052.7660,01/09/2023,30/09/2023
Antigua,E Caribbean Dollar,XCD,3.4127,01/09/2023,30/09/2023
Argentina,Peso,ARS,442.0495,01/09/2023,30/09/2023
Armenia,Dram,AMD,487.1045,01/09/2023,30/09/2023
Aruba,Florin,AWG,2.2609,01/09/2023,30/09/2023
Australia,Dollar,AUD,1.9677,01/09/2023,30/09/2023
Azerbaijan,New Manat,AZN,2.1491,01/09/2023,30/09/2023
Bahamas,Dollar,BSD,1.2631,01/09/2023,30/09/2023
Bahrain,Dinar,BHD,0.4749,01/09/2023,30/09/2023
Bangladesh,Taka,BDT,138.1545,01/09/2023,30/09/2023
Barbados,Dollar,BBD,2.5261,01/09/2023,30/09/2023
Belarus,Rouble,BYN,3.1622,01/09/2023,30/09/2023
Belize,Dollar,BZD,2.5441,01/09/2023,30/09/2023
Benin,CFA Franc,XOF,766.3450,01/09/2023,30/09/2023
Bermuda,Dollar (US),BMD,1.2631,01/09/2023,30/09/2023
Bhutan,Ngultrum,BTN,104.4286,01/09/2023,30/09/2023
Bolivia,Boliviano,BOB,8.7255,01/09/2023,30/09/2023
Bosnia- Herzegovinia,Marka,BAM,2.2850,01/09/2023,30/09/2023
Botswana,Pula,BWP,17.0529,01/09/2023,30/09/2023
Brazil,Real,BRL,6.2383,01/09/2023,30/09/2023
Brunei,Dollar,BND,1.7149,01/09/2023,30/09/2023
Bulgaria,Lev,BGN,2.2850,01/09/2023,30/09/2023
Burkina Faso,CFA Franc,XOF,766.3450,01/09/2023,30/09/2023
Burundi,Franc,BIF,3583.5950,01/09/2023,30/09/2023
Cambodia,Riel,KHR,5234.7230,01/09/2023,30/09/2023
Cameroon Republic,CFA Franc,XAF,766.3450,01/09/2023,30/09/2023
Canada,Dollar,CAD,1.7141,01/09/2023,30/09/2023
Cape Verde Islands,Escudo,CVE,128.8268,01/09/2023,30/09/2023
Cayman Islands,Dollar,KYD,1.0384,01/09/2023,30/09/2023
Central African Republic,CFA Franc,XAF,766.3450,01/09/2023,30/09/2023
Chad,CFA Franc,XAF,766.3450,01/09/2023,30/09/2023
Chile,Peso,CLP,1098.1920,01/09/2023,30/09/2023
China,Yuan,CNY,9.2106,01/09/2023,30/09/2023
Colombia,Peso,COP,5193.8180,01/09/2023,30/09/2023
Comoros,Franc,KMF,574.7587,01/09/2023,30/09/2023
Congo (Brazaville),CFA Franc,XAF,766.3450,01/09/2023,30/09/2023
Congo (DemRep),Congo Fr,CDF,3105.6490,01/09/2023,30/09/2023
Costa Rica,Colon,CRC,682.3371,01/09/2023,30/09/2023
Cote d'Ivoire,CFA Franc,XOF,766.3450,01/09/2023,30/09/2023
Cuba,Peso,CUP,30.2911,01/09/2023,30/09/2023
Czech Republic,Koruna,CZK,28.1974,01/09/2023,30/09/2023
Denmark,Krone,DKK,8.7075,01/09/2023,30/09/2023
Djibouti,Franc,DJF,224.6716,01/09/2023,30/09/2023
Dominica,E Caribbean Dollar,XCD,3.4127,01/09/2023,30/09/2023
Dominican Republic,Peso,DOP,71.7689,01/09/2023,30/09/2023
Dubai,Dirham,AED,4.6386,01/09/2023,30/09/2023
Egypt,Pound,EGP,39.0290,01/09/2023,30/09/2023
El Salvador,Colon,SVC,11.0518,01/09/2023,30/09/2023
Equatorial Guinea,CFA Franc,XAF,766.3450,01/09/2023,30/09/2023
Eritrea,Nakfa,ERN,18.9460,01/09/2023,30/09/2023
Ethiopia,Birr,ETB,69.7254,01/09/2023,30/09/2023
Eurozone,Euro,EUR,1.1683,01/09/2023,30/09/2023
Fiji Islands,Dollar,FJD,2.8609,01/09/2023,30/09/2023
Fr. Polynesia,CFP Franc,XPF,139.4135,01/09/2023,30/09/2023
Gabon,CFA Franc,XAF,766.3450,01/09/2023,30/09/2023
Gambia,Dalasi,GMD,76.8047,01/09/2023,30/09/2023
Georgia,Lari,GEL,3.3197,01/09/2023,30/09/2023
Ghana,Cedi,GHS,14.2569,01/09/2023,30/09/2023
Grenada,E Caribbean Dollar,XCD,3.4127,01/09/2023,30/09/2023
Guatemala,Quetzal,GTQ,9.9114,01/09/2023,30/09/2023
Guinea Bissau,CFA Franc,XOF,766.3450,01/09/2023,30/09/2023
Guinea Republic,Franc,GNF,10842.7900,01/09/2023,30/09/2023
Guyana,Dollar,GYD,264.0078,01/09/2023,30/09/2023
Haiti,Gourde,HTG,172.1458,01/09/2023,30/09/2023
Honduras,Lempira,HNL,31.1081,01/09/2023,30/09/2023
Hong Kong,Dollar,HKD,9.9023,01/09/2023,30/09/2023
Hungary,Forint,HUF,447.2893,01/09/2023,30/09/2023
Iceland,Krona,ISK,167.1846,01/09/2023,30/09/2023
India,Rupee,INR,104.4286,01/09/2023,30/09/2023
Indonesia,Rupiah,IDR,19328.4500,01/09/2023,30/09/2023
Iraq,Dinar,IQD,1658.3540,01/09/2023,30/09/2023
Israel,Shekel,ILS,4.7798,01/09/2023,30/09/2023
Jamaica,Dollar,JMD,194.9276,01/09/2023,30/09/2023
Japan,Yen,JPY,183.6765,01/09/2023,30/09/2023
Jordan,Dinar,JOD,0.8955,01/09/2023,30/09/2023
Kazakhstan,Tenge,KZT,583.1033,01/09/2023,30/09/2023
Kenya,Schilling,KES,182.8123,01/09/2023,30/09/2023
Kuwait,Dinar,KWD,0.3896,01/09/2023,30/09/2023
Kyrgyz Republic,Som,KGS,111.3646,01/09/2023,30/09/2023
Lao People's Dem Rep,Kip,LAK,24582.3800,01/09/2023,30/09/2023
Lebanon,Pound,LBP,18973.8400,01/09/2023,30/09/2023
Lesotho,Loti,LSL,23.6045,01/09/2023,30/09/2023
Liberia,Dollar (US),USD,1.2631,01/09/2023,30/09/2023
Libya,Dinar,LYD,6.0843,01/09/2023,30/09/2023
Macao,Pataca,MOP,10.1994,01/09/2023,30/09/2023
Macedonia,Denar,MKD,71.8296,01/09/2023,30/09/2023
Madagascar,Malagasy Ariary,MGA,5680.9040,01/09/2023,30/09/2023
Malawi,Kwacha,MWK,1368.9550,01/09/2023,30/09/2023
Malaysia,Ringgit,MYR,5.8823,01/09/2023,30/09/2023
Maldive Islands,Rufiyaa,MVR,19.4267,01/09/2023,30/09/2023
Mali Republic,CFA Franc,XOF,766.3450,01/09/2023,30/09/2023
Mauritania,Ouguiya,MRU,48.1779,01/09/2023,30/09/2023
Mauritius,Rupee,MUR,57.3156,01/09/2023,30/09/2023
Mexico,Mexican Peso,MXN,21.3222,01/09/2023,30/09/2023
Moldova,Leu,MDL,22.4946,01/09/2023,30/09/2023
Mongolia,Tugrik,MNT,4392.9150,01/09/2023,30/09/2023
Montserrat,E Caribbean Dollar,XCD,3.4127,01/09/2023,30/09/2023
Morocco,Dirham,MAD,12.6934,01/09/2023,30/09/2023
Mozambique,Metical,MZN,80.6331,01/09/2023,30/09/2023
Myanmar,Kyat,MMK,2649.2000,01/09/2023,30/09/2023
Nepal,Rupee,NPR,167.1642,01/09/2023,30/09/2023
New Caledonia,CFP Franc,XPF,139.4135,01/09/2023,30/09/2023
New Zealand,Dollar,NZD,2.1288,01/09/2023,30/09/2023
Nicaragua,Gold Cordoba,NIO,46.2178,01/09/2023,30/09/2023
Niger Republic,CFA Franc,XOF,766.3450,01/09/2023,30/09/2023
Nigeria,Naira,NGN,962.6793,01/09/2023,30/09/2023
Norway,Norwegian Krone,NOK,13.5085,01/09/2023,30/09/2023
Oman,Rial,OMR,0.4857,01/09/2023,30/09/2023
Pakistan,Rupee,PKR,378.6644,01/09/2023,30/09/2023
Panama,Balboa,PAB,1.2631,01/09/2023,30/09/2023
Papua New Guinea,Kina,PGK,4.5598,01/09/2023,30/09/2023
Paraguay,Guarani,PYG,9198.3530,01/09/2023,30/09/2023
Peru,New Sol,PEN,4.7019,01/09/2023,30/09/2023
Philippines,Peso,PHP,71.7176,01/09/2023,30/09/2023
Poland,Zloty,PLN,5.2315,01/09/2023,30/09/2023
Qatar,Riyal,QAR,4.5976,01/09/2023,30/09/2023
Romania,New Leu,RON,5.7730,01/09/2023,30/09/2023
Russia,Rouble,RUB,119.1271,01/09/2023,30/09/2023
Rwanda,Franc,RWF,1467.8530,01/09/2023,30/09/2023
Saotome & Principe,Dobra,STD,28690.9000,01/09/2023,30/09/2023
Saudi Arabia,Riyal,SAR,4.7365,01/09/2023,30/09/2023
Senegal,CFA Franc,XOF,766.3450,01/09/2023,30/09/2023
Serbia,Dinar,RSD,136.9348,01/09/2023,30/09/2023
Seychelles,Rupee,SCR,16.8483,01/09/2023,30/09/2023
Sierra Leone,Leone,SLE,27.5005,01/09/2023,30/09/2023
Singapore,Dollar,SGD,1.7149,01/09/2023,30/09/2023
Soloman Islands,Dollar,SBD,10.6414,01/09/2023,30/09/2023
Somali Republic,Schilling,SOS,719.5476,01/09/2023,30/09/2023
South Africa,Rand,ZAR,23.6045,01/09/2023,30/09/2023
South Korea,Won,KRW,1692.9220,01/09/2023,30/09/2023
Sri Lanka,Rupee,LKR,408.6751,01/09/2023,30/09/2023
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.4127,01/09/2023,30/09/2023
St Lucia,E Caribbean Dollar,XCD,3.4127,01/09/2023,30/09/2023
St Vincent,E Caribbean Dollar,XCD,3.4127,01/09/2023,30/09/2023
Sudan Republic,Pound,SDG,758.8263,01/09/2023,30/09/2023
Surinam,Dollar,SRD,48.5986,01/09/2023,30/09/2023
Swaziland,Lilangeni,SZL,23.6045,01/09/2023,30/09/2023
Sweden,Krona,SEK,13.9105,01/09/2023,30/09/2023
Switzerland,Franc,CHF,1.1128,01/09/2023,30/09/2023
Taiwan,Dollar,TWD,40.3596,01/09/2023,30/09/2023
Tanzania,Schilling,TZS,3158.3650,01/09/2023,30/09/2023
Thailand,Baht,THB,44.3438,01/09/2023,30/09/2023
Togo Republic,CFA Franc,XOF,766.3450,01/09/2023,30/09/2023
Tonga Islands,Pa'anga (AUS),TOP,1.9677,01/09/2023,30/09/2023
Trinidad/Tobago,Dollar,TTD,8.5571,01/09/2023,30/09/2023
Tunisia,Dinar,TND,3.9346,01/09/2023,30/09/2023
Turkey,Turkish  Lira,TRY,34.3743,01/09/2023,30/09/2023
Turkmenistan,New Manat,TMT,4.4266,01/09/2023,30/09/2023
UAE,Dirham,AED,4.6386,01/09/2023,30/09/2023
USA,Dollar,USD,1.2631,01/09/2023,30/09/2023
